kmeans,vsc,mst_js,hdbscan
0.741262,0.92024,0.951166,1.0
0.433168,0.236313,0.181017,0.383807
0.740824,0.273755,0.271755,0.714167
0.145327,0.05691,0.010314,0.06246
0.071725,0.10175,0.10175,0.016951
0.005278,0.051418,0.051418,0.116781
0.000422,0.047821,0.043122,0.14115
0.011611,0.089824,0.106204,0.126437
0.009859,0.034641,0.034641,0.054482
0.000109,0.031908,0.242019,0.004602
0.012879,0.038108,0.038108,0.030347
0.002909,0.152921,0.152921,0.040077
0.223018,0.031506,0.031506,0.296553
0.000951,0.105401,0.105401,0.057579
0.048858,0.028966,0.026067,0.29604
0.076652,0.179943,0.038442,0.025795
0.234717,0.281116,0.276534,0.590161
0.626997,0.268008,0.272598,0.595378
0.764068,0.811938,0.775132,0.837793
0.245929,0.273963,0.298041,0.123894
0.14037,0.155537,0.118443,0.122468
0.284688,0.294511,0.296334,0.215823
0.197915,0.185224,0.358373,0.207624
0.370144,0.085285,0.161942,0.08115
0.11045,0.211859,0.211859,0.119962
0.102998,0.211859,0.211859,0.119962
0.531585,0.379016,0.918586,0.44974
0.094138,0.022462,0.022462,0.056702
0.019948,0.020929,0.190958,0.051131
0.024987,0.001959,0.446098,0.007066
0.516835,0.252427,0.257665,0.298524
0.540043,0.251831,0.248517,0.285465
