kmeans,mst_euclidean,mst_js,hdbscan
0.713364,0.447154,0.374795,0.382753
0.537306,0.308141,1.19435,2.687976
1.885136,0.923924,0.946166,1.954349
2.343312,0.429939,0.452212,3.222582
2.193856,0.258225,0.258225,2.81291
1.761047,0.41139,0.41139,1.974809
1.980245,0.648915,0.550109,1.92386
1.966016,0.657343,0.421004,1.92479
1.757368,0.417682,0.417682,1.953997
1.96516,0.652143,0.873446,2.496013
2.140624,0.255589,0.255589,2.491329
1.751526,0.351553,0.842307,2.770458
1.868555,0.416198,0.416198,2.309002
2.070902,0.319838,0.319838,2.355778
2.117451,0.655033,0.562484,2.679715
0.600911,0.074285,0.762572,3.730763
5.239471,0.962489,1.028654,2.670002
1.472157,0.789728,0.841046,1.639418
1.796692,1.148561,1.137871,1.959248
2.891898,0.51556,1.783094,4.094137
1.154997,0.541846,1.631738,2.798102
2.814046,0.454481,1.726602,1.998995
1.414436,0.044519,2.049064,2.06521
2.535719,0.641262,0.606972,3.797376
3.490467,0.705372,0.705372,2.918767
3.622553,0.705372,0.705372,2.918767
1.594632,0.364573,1.808396,1.99591
2.348027,0.49862,0.611591,1.606558
1.394014,0.984278,1.106214,1.137847
8.313187,0.93871,1.167673,1.785734
2.820503,0.78158,1.046544,1.546082
1.962363,0.7484,0.890673,1.420626
